Date,Time,Conductivity,Water Temperature,Water Depth,Water Level
24/11/2016,00:00:00,*,*,*,*
25/11/2016,00:00:00,*,*,*,*
26/11/2016,00:00:00,*,*,*,*
27/11/2016,00:00:00,*,*,*,*
28/11/2016,00:00:00,*,*,*,*
29/11/2016,00:00:00,*,*,*,*
30/11/2016,00:00:00,837.8,18.2,14.2,14.7
01/12/2016,00:00:00,*,*,*,*
02/12/2016,00:00:00,*,*,*,*
03/12/2016,00:00:00,843.6,18.2,14.08,14.82
04/12/2016,00:00:00,*,*,*,*
05/12/2016,00:00:00,*,*,*,*
06/12/2016,00:00:00,*,*,*,*
07/12/2016,00:00:00,842.4,18.2,13.97,14.93
08/12/2016,00:00:00,*,*,*,*
09/12/2016,00:00:00,842.6,18.2,13.9,15
10/12/2016,00:00:00,*,*,*,*
11/12/2016,00:00:00,840.2,18.2,13.95,14.95
12/12/2016,00:00:00,*,*,*,*
13/12/2016,00:00:00,841.8,18.2,13.96,14.94
14/12/2016,00:00:00,843.3,18.2,13.96,14.94
15/12/2016,00:00:00,*,*,*,*
16/12/2016,00:00:00,*,*,*,*
17/12/2016,00:00:00,*,*,*,*
18/12/2016,00:00:00,841.8,18.2,13.86,15.04
19/12/2016,00:00:00,841.3,18.2,*,15.06
20/12/2016,00:00:00,841.1,18.2,13.82,15.08
21/12/2016,00:00:00,*,*,*,*
22/12/2016,00:00:00,841.8,18.2,13.87,15.03
23/12/2016,00:00:00,844.8,18.2,*,15.06
24/12/2016,00:00:00,844.2,18.2,13.8,15.1
25/12/2016,00:00:00,*,*,*,*
26/12/2016,00:00:00,843.4,18.2,13.75,15.15
27/12/2016,00:00:00,*,*,*,*
28/12/2016,00:00:00,843.3,18.2,13.71,15.19
29/12/2016,00:00:00,*,*,*,*
30/12/2016,00:00:00,843.7,18.2,13.74,15.16
31/12/2016,00:00:00,845.1,18.2,13.69,15.21
01/01/2017,00:00:00,*,*,*,*
02/01/2017,00:00:00,*,*,*,*
03/01/2017,00:00:00,*,*,*,*
04/01/2017,00:00:00,*,*,*,*
05/01/2017,00:00:00,*,*,*,*
06/01/2017,00:00:00,846.2,18.2,*,15.27
07/01/2017,00:00:00,851.1,18.2,13.64,15.26
